Name,Group,SMARTS,Author,Article,Alert_ID,Endpoint,Endpoint_index
Thioamides,"R1, R2, R3 = H, any carbon atom","[#1,#6][CX3](=[SX1])[NX3]([#1,#6])[#1,#6]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA835,Idiosyncratic_toxicity_(RM_formation),10
Thioureas,"R1, R2 = H, any carbon atom","[#1,#6][NX3]([#1,#6])[CX3](=[SX1])[#7]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA836,Idiosyncratic_toxicity_(RM_formation),10
Sulfonylureas,"R1, R2 = any carbon atom",[#6][Sv6X4](=[OX1])(=[OX1])[NX3H1][CX3](=[OX1])[NX3H1][#6],"Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA837,Idiosyncratic_toxicity_(RM_formation),10
Thiols,"R = H, any carbon atom","[SX2!H0][#1,#6&!$([CX3]([SH1])=[OX1,SX1,NX2])]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA838,Idiosyncratic_toxicity_(RM_formation),10
Disulfides,"R = H, any carbon atom","[#6,#1][SX2][SX2][#6,#1])","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA839,Idiosyncratic_toxicity_(RM_formation),10
Ortho- or parahydroquinones,SMARTS: ,"[$(c1([OH1])c([OH1])cccc1),$(c1([OH1])ccc([OH1])cc1)]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA840,Idiosyncratic_toxicity_(RM_formation),10
Ortho- or paraquinones,SMARTS: ,"[$([#6]1(=[OX1])-,:[#6]=,:[#6]-,:[#6](=[OX1])-,:[#6]=,:[#6]1),$([#6]1(=[OX1])-,:[#6](=[OX1])-,:[#6]=,:[#6]-,:[#6]=,:[#6]1)]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA841,Idiosyncratic_toxicity_(RM_formation),10
Ortho- or paraalkylphenols,"R1, R2 = H, any carbon atom","[$(c1([OH1])c([CX4]([#1,#6])[#1,#6])cccc1),$(c1([OH1])ccc([CX4]([#1,#6])[#1,#6])cc1)]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA842,Idiosyncratic_toxicity_(RM_formation),10
Quinone methide,"R1, R2 = H, any carbon atom","[$([OX1]=[#6X3]1-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]-,:[#6X3]1=[CX3]([#1,#6])[#1,#6]),$([OX1]=[#6]1-,:[#6]=,:[#6]-,:[#6](=[CX3]([#1,#6])[#1,#6])-,:[#6]=,:[#6]1)]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA843,Idiosyncratic_toxicity_(RM_formation),10
Benzo-dioxolanes,SMARTS: ,c1ccc([OX2]2)c([OX2][CX4H1]2[OH1])c1,"Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA844,Idiosyncratic_toxicity_(RM_formation),10
3-Methylene indoles,"R1, R2 = H, any carbon atom","c1ccc([nX3]2([#1,#6]))c(c([CH2][#1,#6])c2)c1","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA845,Idiosyncratic_toxicity_(RM_formation),10
Furans,SMARTS: ,c1ccc[oX2]1,"Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA846,Idiosyncratic_toxicity_(RM_formation),10
Thiophenes,SMARTS: ,c1ccc[sX2]1,"Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA847,Idiosyncratic_toxicity_(RM_formation),10
Thiazoles and 2-amino derivatives,"R1, R2, R3, R4 = H or alkyl","[$(c1([#1,CX4!R])c([#1,CX4!R])[nX2]c([#1,CX4!R])[sX2]1),$(c1([#1,CX4!R])c([#1,CX4!R])[nX2]c([NX3]([#1,CX4!R])[#1,CX4!R])[sX2]1)]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA848,Idiosyncratic_toxicity_(RM_formation),10
Thiazolidinediones,R = any carbon atom,[SX2]1[CX3](=[OX1])[NX3H1][CX3](=[OX1])[CX4]1[#6],"Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA849,Idiosyncratic_toxicity_(RM_formation),10
Arenes,SMARTS: ,NOT [!#6!#1] AND c1ccccc1,"Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA850,Idiosyncratic_toxicity_(RM_formation),10
Bromoarenes,SMARTS: ,NOT [!#6!#1!Br] AND c1ccccc1Br,"Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA851,Idiosyncratic_toxicity_(RM_formation),10
2- or 4-Halopyridines,"X = F, Cl, Br, I","[$(n1c([Cl,Br,I,F])cccc1),$(n1cccc([Cl,Br,I,F])cc1)]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA852,Idiosyncratic_toxicity_(RM_formation),10
Heterocycles with a C-2 LG,A = any aromatic atom; Y = good-leaving group,"nc[$([OX2][Sv6X4](=[OX1])(=[OX1])[OH]),$([OX2][Sv6X4](=[OX1])(=[OX1])[OX2][CH3])   ","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA853,Idiosyncratic_toxicity_(RM_formation),10
Alkynes,R1 = any carbon atom; R2 = H or any carbon atom,"[#6][CX2]#[CX2][#1,#6]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA854,Idiosyncratic_toxicity_(RM_formation),10
Michael acceptors,R1 = H or any carbon; Y = electron withdrawing group (EWG),"[$([CX3]=[CX3][$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])   ","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA855,Idiosyncratic_toxicity_(RM_formation),10
Alkylhalides,"R = alkyl carbon atom; R1 = any carbon atom; X = F, Cl, Br, I;","[$([CX4]([F,Cl,Br,I])([H,!F!Cl!Br!I])([H,!F!Cl!Br!I])[H,!F!Cl!Br!I]),$([CX4]([#6])([F,Cl,Br,I])([F,Cl,Br,I])[H,!F!Cl!Br!I])]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA856,Idiosyncratic_toxicity_(RM_formation),10
Carboxylic acids,R = any carbon atom,[#6][CX3](=[OX1])[OH1],"Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA857,Idiosyncratic_toxicity_(RM_formation),10
Fluoroethyl ethers and amines,"R = any carbon atom; R1 = H, any carbon atom; Y = H2, H or OH","[$([F][CX4][$([CH2]),$([CH]),$(C[OH1])][OX2][#1,#6]),$([F][CX4][$([CH2]),$([CH]),$(C[OH1])][NX3][#6])]","Kalgutkar, AS, Soglia, JR, ",Minimising the potential for metabolic activation in drug discovery.,TA858,Idiosyncratic_toxicity_(RM_formation),10
phosphorodithionate,SMARTS: ,[$([SX2H0]P(=S)([OH0])[OH0])]P(=S)([OH0])[OH0],"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9905,LD50_mo_oral,11
"O,O-diethylphosphorodithionate",SMARTS: ,CCOP(=S)(OCC)SC([*:1]),"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9906,LD50_mo_oral,11
phosphoryl,SMARTS: ,[PX4H0](=O)([OH0])([OH0])[OH0],"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9907,LD50_mo_oral,11
"O,O-dimethylphosphoryl",SMARTS: ,COP(=O)(O([*:1]))OC,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9908,LD50_mo_oral,11
phosphorothionate,SMARTS: ,[$([OH0]P(=S)([OH0])[OH0])]P(=S)([OH0])[OH0],"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9909,LD50_mo_oral,11
diethylphosphorothionate,SMARTS: ,CCOP(=S)(O([*:1]))OCC,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9910,LD50_mo_oral,11
O-phenyl phenylphosphonothioate,SMARTS: ,S=P(O([*:1]))(Oc1ccc([*:1])cc1)c1ccccc1,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9911,LD50_mo_oral,11
O-phenyl phosphonothioate,SMARTS: ,S=P(O([*:1]))(O([*:1]))Oc1ccc([*:1])cc1,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9912,LD50_mo_oral,11
carbamate,SMARTS: ,[$(N([!H])C(=O)[OH0])]C(=O)[OH0],"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9913,LD50_mo_oral,11
"2,2-dimethyl-2,3-dihydro-1-benzofuran-7-yl N-(aminosulfanyl)-N-methylcarbamate",SMARTS: ,CN(SN([*:1])([*:1]))C(=O)Oc1cccc2CC(C)(C)Oc12,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9914,LD50_mo_oral,11
methyl(propoxysulfanyl) carbamate,SMARTS: ,CN(SOCCC([*:1]))C(=O)O([*:1]),"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9915,LD50_mo_oral,11
phenyl carbamate,SMARTS: ,O=C(N([*:1]))Oc1ccccc([*:1])1,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9916,LD50_mo_oral,11
O-(methylaminocarbonyl)oxime,SMARTS: ,[CX4]NC(=O)ON=C,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9917,LD50_mo_oral,11
dimethylcarbamate,SMARTS: ,CN(C)C(=O)O([*:1]),"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9918,LD50_mo_oral,11
barbiturates,SMARTS: ,*C1(*)[#6](=O)-[#7]-[#6](=O)-[#7]-[#6]1=O,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9919,LD50_mo_oral,11
4-Hydroxycoumarin,SMARTS: ,[OH1]C1=CC(=O)Oc2[cH][cH][cH][cH]c12,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9920,LD50_mo_oral,11
Phenothiazine,SMARTS: ,*-[#7]-1-c2ccccc2-[#16]-c2ccccc-12,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9921,LD50_mo_oral,11
1-carboximidoylpiperazine,SMARTS: ,[NR1X3]1[CX4R1][CX4R1][NX3R1]([CX3]=[NX2])[CX4R1][CX4R1]1,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9922,LD50_mo_oral,11
phenylpiperazine,SMARTS: ,[NR1X3]1[CX4R1][CX4R1][NX3R1](c2ccccc2)[CX4R1][CX4R1]1,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9923,LD50_mo_oral,11
"2,4-dichloro-benzene-1,3-dicarbonitrile",SMARTS: ,N#Cc1c([*:1])c([*:1])c(Cl)c(C#N)c1Cl,"Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., ",QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE,TA9924,LD50_mo_oral,11
Benzyl Imidazole scaffold,SMARTS: ,"[c,n]:1:c:[c,n]:[c,n]2:[c,n](:c:1)[c,n,o,s][c,n]([c,n,o,s]2)*-,=*c:3:c:c:c:c:c:3","Ghosh, ",588342_Activity_at_11.5um.xlsx,TA9334,Luciferase_Inhibitory_Activity,12
6-Phenyl Napthaline type scaffold,SMARTS: ,"[c,n]:1:c:[c,n]:[c,n]2:[c,n](:c:1)[c,n,o,s][c,n]([c,n,o,s][c,n,o,s]2)*~*c:3:c:c:c:c:c:3","Ghosh, ",588342_Activity_at_11.5um.xlsx,TA9335,Luciferase_Inhibitory_Activity,12
2-(2-(1H-pyrrol-2-yl)ethyl)-1H-benzoimidazole scaffold,Benzoimidazole scaffold with pyrrole/Furan/Thiophene attached with a ethyl linker,"[c,n]:1:c:c2:c(:[c,n]:c:1)[c,n,o,s][c,n]([c,n,o,s]2)*~*c3ccc*3","Ghosh, ",588342_Activity_at_11.5um.xlsx,TA9337,Luciferase_Inhibitory_Activity,12
AliphaticCyclicNoBranches,SMARTS: ,"NOT [!R,a]","Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2790,Nonbiodegradable_compounds,13
AliphaticEther,"R1, R2 = aliphatic carbon (not C=O)",[!$(C=O);$([C&!a])][OX2&H0][!$(C=O);$([C&!a])],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2791,Nonbiodegradable_compounds,13
AliphaticFusedRingsNonBranched,SMARTS: ,NOT a AND NOT [!R] AND NOT [CX4&H0&R2],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2792,Nonbiodegradable_compounds,13
AromaticHalogen,R = any aromatic atom,"[$([a][F,Cl,I])]","Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2795,Nonbiodegradable_compounds,13
AromaticNGroups,R = any aromatic atom; R1 = any atom except hydrogen,"[$([a]N(~O)~O),$([a]N([#1])[*]),$([a]N([#1])[!#1])]","Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2796,Nonbiodegradable_compounds,13
AromaticSulphonicAcid,R = any aromatic atom,"[$([#16X4](=[OX1])(=[OX1])([a])[OX2H,OX1H0-]),$([#16X4+2]([OX1-])([OX1-])([a])[OX2H,OX1H0-])]","Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2797,Nonbiodegradable_compounds,13
AzoGroup,SMARTS: ,[$([!R&N]=[!R&N])],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2798,Nonbiodegradable_compounds,13
CyanoGroupOnMoreThanEightAtomsChain,A = any aliphatic atom; a dashed line indicates any covalent bond,[N]#[C]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2799,Nonbiodegradable_compounds,13
Epoxide,SMARTS: ,[$(C1OC1)],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2800,Nonbiodegradable_compounds,13
HalogenSubstitutedBranched,SMARTS: ,"[$([C;!R]([C])([C])[C])] AND [#6][F,Cl,Br,I]","Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2803,Nonbiodegradable_compounds,13
Ketone,"R1, R2 = aliphatic carbon",[C][C](=O)[C],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2804,Nonbiodegradable_compounds,13
MoreThanTwoHydroxyOnAromaticRing,SMARTS: ,"[$([a&R]([OX2H])[a&R]([OX2H])),$([a&R]([OX2H])a[a&R]([OX2H])),$([a&R]([OX2H])aa[a&R]([OX2H]))]","Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2805,Nonbiodegradable_compounds,13
NNitroso,SMARTS: ,[$(NN=O)],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2807,Nonbiodegradable_compounds,13
PyridineRing,SMARTS: ,[$(n1ccccc1)],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2810,Nonbiodegradable_compounds,13
TerminalIsopropylNonCyclic,SMARTS: ,NOT [R] AND [$([CH]([CH3])([*])[CH3])] > 1,"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2811,Nonbiodegradable_compounds,13
TerminalTertButyl,R = any atom/ group,[$([C]([CH3])([CH3])([CH3])([*]))],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2812,Nonbiodegradable_compounds,13
TertiaryAmine,"R1, R2, R3 = any atom/ group except hydrogen",[!R&NX3&H0],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2813,Nonbiodegradable_compounds,13
TriazineRing,SMARTS: ,"[$(n1nnccc1),$(n1ncncc1),$(n1cncnc1)]","Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2814,Nonbiodegradable_compounds,13
Trifluoromethyl,R = any atom/ group,[$([*]C(F)(F)F)],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2815,Nonbiodegradable_compounds,13
TwoHalogensOnUnbranchedNonCyclic,SMARTS: ,"NOT [$([C][C]([C])[C])] AND NOT [R] AND [#6][F,Cl,Br,I] > 1","Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2816,Nonbiodegradable_compounds,13
RuleTwoTerminalDiaminoGroupsOnNonCyclic,R = any atom/ group,NOT [R] AND [$([N&H2][C&H1]([N&H2])[*])],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2817,Nonbiodegradable_compounds,13
TwoTerminalDoubleBondsOnUnbranched,SMARTS: ,[$([C&H2]=[C])] > 1 AND NOT [$([*]~C([!#1])~[*])],"Environment, C., ","Guidance Manual for the Categorization of Organic and Inorganic Substances on Canada鈥檚 Domestic Substances List, Existing Substances Branch,Environment Canada",TA2818,Nonbiodegradable_compounds,13
Thiocarbonyl,"R, R1, R2 = any atom/group; R3 = any atom/group except OH, SH, O-, S-; thiocarbamates are exclude","[$([NX3][CX3](=[Sv2X1])[NX3]),$([CX3;!$(C[OH]);!$(C[SH]);!$(C[O-]);!$(C[S-]);!$(CO[#6])](=[Sv2X1])[NX3])]","Benigni, R, Bossa, C, ","Structure alerts for carcinogenicity, and the Salmonella assay system: a novel insight through the chemical relational databases technology.",TA374,Non-genotoxic_carcinogenicity,14
(Poly) Halogenated cycloalkanes,Any cycloalkane skeleton with three or more halogens directly bound to the same ring,"NOT [!CX4!#1!F!Cl!Br!I] AND [CX4!R0][F,Cl,Br,I]","Benigni, R, Bossa, C, ","Structure alerts for carcinogenicity, and the Salmonella assay system: a novel insight through the chemical relational databases technology.",TA377,Non-genotoxic_carcinogenicity,14
Halogenated benzene,"X = Br, Cl, F, I; chemicals with two halogens in ortho or meta are excluded;  chemicals with three or more hydroxyl groups are excluded","c1ccccc1[$([Br,Cl,F,I]);!$([Br,Cl,F,I]aa[Br,Cl,F,I]);!$([Br,Cl,F,I]aaa[Br,Cl,F,I]);!$([Br,Cl,F,I]aa([OH])a([OH])a[OH]);!$([Br,Cl,F,I]aaa([OH])a([OH])a[OH]);!$([Br,Cl,F,I]aa([OH])a([OH])aa[OH])]","Benigni, R, Bossa, C, ","Structure alerts for carcinogenicity, and the Salmonella assay system: a novel insight through the chemical relational databases technology.",TA390,Non-genotoxic_carcinogenicity,14
Halogenated PAH,"Ar = naphthalene, biphenyl, diphenyl; X = Br, Cl, F, I","[Br,Cl,F,I][$([cR1]1[cR1][cR1][cR1][cR1][cR1]1-[cR1]2[cR1][cR1][cR1][cR1][cR1]2),$([cR1]1[cR1][cR1][cR1][cR2]2[cR2]1[cR1][cR1][cR1][cR1]2)]","Benigni, R, Bossa, C, ","Structure alerts for carcinogenicity, and the Salmonella assay system: a novel insight through the chemical relational databases technology.",TA391,Non-genotoxic_carcinogenicity,14
Halogenated dibenzodioxins,"X = Br, Cl, F, I; only chemicals with at least one halogen in one of the four lateral positions are considered","[OR1]1[CR2]2=[CR1][CR1]=[CR1][CR1]=[CR2]2[OR1][CR2]3=[CR1][CR1]([F,Cl,Br,I])=[CR1][CR1]=[CR2]13","Benigni, R, Bossa, C, ","Structure alerts for carcinogenicity, and the Salmonella assay system: a novel insight through the chemical relational databases technology.",TA392,Non-genotoxic_carcinogenicity,14
Acyl halides,"R = any atom/group, except OH, SH; X = F, Cl, Br, I","[Br,Cl,F,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","Benigni, R, Bossa, C, Tcheremenskaia, O, ",Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.,TA3019,Non-genotoxic_carcinogenicity,14
Alkyl (C<5) or benzylester of sulphonic or phosphonic acid,"R = alkyl with C<5 (also substituted with halogens), or benzyl; R1 = any atom/group except OH, SH, O-, S-",[$([Sv6X4;!$([Sv6X4][OH]);!$([Sv6X4][SH]);!$([Sv6X4][O-]);!$([Sv6X4][S-])](=[OX1   ,"Benigni, R, Bossa, C, Tcheremenskaia, O, ",Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.,TA3020,Non-genotoxic_carcinogenicity,14
N-methylol derivatives,R = any atom/ group,[OX2;H1][CH2][NX3],"Benigni, R, Bossa, C, Tcheremenskaia, O, ",Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.,TA3021,Non-genotoxic_carcinogenicity,14
Monohaloalkene,"R1, R2 (or R3) = H or Alkyl; R3 (or R2) = any atom/group except halogens; X = F, Cl, Br, I","[CX3]([CX4,#1])([F,Cl,Br,I])=[CX3]([CX4,#1])[!F!Cl!Br!I]","Benigni, R, Bossa, C, Tcheremenskaia, O, ",Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.,TA3022,Non-genotoxic_carcinogenicity,14
S or N mustard,"R = any atom/ group; X = F, Cl, Br, I","[F,Cl,Br,I][CH2][CH2][NX3,SX2][CH2][CH2][F,Cl,Br,I]","Benigni, R, Bossa, C, Tcheremenskaia, O, ",Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.,TA3023,Non-genotoxic_carcinogenicity,14
尾-lactones and 纬- sultones,"Acylating and alkylating, Direct Acting Agents","[$([OX2]1[CX4][CX4][CX3]1(=[OX1])),$([CX4]1[CX4][CX4][Sv6;X4](=[OX1])(=[OX1])[OX2]1)]","Benigni, R, Bossa, C, Tcheremenskaia, O, ",Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.,TA3024,Non-genotoxic_carcinogenicity,14
Epoxides and aziridines,R = any atom/ group,"[CX4]1[OX2,NX3][CX4]1","Benigni, R, Bossa, C, Tcheremenskaia, O, ",Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.,TA3025,Non-genotoxic_carcinogenicity,14
Aliphatic halogens,"R = any atom/ group; X = Cl, Br, I","[CX4;!H0][Br,Cl,I]","Benigni, R, Bossa, C, Tcheremenskaia, O, ",Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.,TA3026,Non-genotoxic_carcinogenicity,14
Alkyl nitrite,R = any alkyl group,[OX1]=[NX2][OX2][CX4],"Benigni, R, Bossa, C, Tcheremenskaia, O, ",Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.,TA3027,Non-genotoxic_carcinogenicity,14
"伪,尾 unsaturated carbonyls","Acylating, Direct Acting Agents",[CX3](=[OX1])[CX3H1]=[CX3],"Benigni, R, Bossa, C, Tcheremenskaia, O, ",Nongenotoxic carcinogenicity of chemicals: mechanisms of action and early recognition through a new set of structural alerts.,TA3028,Non-genotoxic_carcinogenicity,14
